x-axis,F1
Hertz,dBV
+0.0E+00,-78.83024E+00
+5.000E+00,-97.19022E+00
+10.000E+00,-95.23822E+00
+15.000E+00,-99.32878E+00
+20.000E+00,-98.95282E+00
+25.000E+00,-98.65752E+00
+30.000E+00,-99.46989E+00
+35.000E+00,-99.46989E+00
+40.000E+00,-93.74882E+00
+45.000E+00,-99.46989E+00
+50.000E+00,-92.56653E+00
+55.000E+00,-99.46989E+00
+60.000E+00,-99.46989E+00
+65.000E+00,-97.94814E+00
+70.000E+00,-99.46989E+00
+75.000E+00,-99.37668E+00
+80.000E+00,-97.31094E+00
+85.000E+00,-94.43405E+00
+90.000E+00,-99.23908E+00
+95.000E+00,-97.52947E+00
+100.000E+00,-96.28111E+00
+105.000E+00,-99.26518E+00
+110.000E+00,-99.40657E+00
+115.000E+00,-99.46989E+00
+120.000E+00,-99.46989E+00
+125.000E+00,-99.46989E+00
+130.000E+00,-99.46989E+00
+135.000E+00,-98.25686E+00
+140.000E+00,-99.46989E+00
+145.000E+00,-99.44880E+00
+150.000E+00,-99.46989E+00
+155.000E+00,-99.46989E+00
+160.000E+00,-99.46989E+00
+165.000E+00,-96.10814E+00
+170.000E+00,-97.95401E+00
+175.000E+00,-99.46989E+00
+180.000E+00,-98.69825E+00
+185.000E+00,-94.59186E+00
+190.000E+00,-98.81140E+00
+195.000E+00,-98.73042E+00
+200.000E+00,-62.88406E+00
+205.000E+00,-99.46989E+00
+210.000E+00,-97.65355E+00
+215.000E+00,-97.77786E+00
+220.000E+00,-99.46989E+00
+225.000E+00,-99.46989E+00
+230.000E+00,-97.35397E+00
+235.000E+00,-97.46552E+00
+240.000E+00,-99.46989E+00
+245.000E+00,-97.59219E+00
+250.000E+00,-99.46620E+00
+255.000E+00,-99.46989E+00
+260.000E+00,-99.13472E+00
+265.000E+00,-99.42916E+00
+270.000E+00,-99.46989E+00
+275.000E+00,-99.46989E+00
+280.000E+00,-99.46989E+00
+285.000E+00,-97.78243E+00
+290.000E+00,-97.94309E+00
+295.000E+00,-99.46989E+00
+300.000E+00,-99.46989E+00
+305.000E+00,-99.46989E+00
+310.000E+00,-98.57120E+00
+315.000E+00,-99.46989E+00
+320.000E+00,-99.46989E+00
+325.000E+00,-99.46989E+00
+330.000E+00,-99.46989E+00
+335.000E+00,-98.71485E+00
+340.000E+00,-99.46989E+00
+345.000E+00,-99.46989E+00
+350.000E+00,-99.46989E+00
+355.000E+00,-99.46989E+00
+360.000E+00,-98.75831E+00
+365.000E+00,-99.44226E+00
+370.000E+00,-99.46989E+00
+375.000E+00,-99.46989E+00
+380.000E+00,-99.46989E+00
+385.000E+00,-99.46989E+00
+390.000E+00,-97.17978E+00
+395.000E+00,-96.89816E+00
+400.000E+00,-48.53847E+00
+405.000E+00,-92.97191E+00
+410.000E+00,-99.37993E+00
+415.000E+00,-94.16141E+00
+420.000E+00,-98.75806E+00
+425.000E+00,-99.46989E+00
+430.000E+00,-97.40131E+00
+435.000E+00,-99.46989E+00
+440.000E+00,-98.18648E+00
+445.000E+00,-99.46989E+00
+450.000E+00,-99.46989E+00
+455.000E+00,-99.46989E+00
+460.000E+00,-99.46989E+00
+465.000E+00,-99.46989E+00
+470.000E+00,-98.37313E+00
+475.000E+00,-99.46989E+00
+480.000E+00,-99.46989E+00
+485.000E+00,-98.39325E+00
+490.000E+00,-99.46989E+00
+495.000E+00,-99.46989E+00
+500.000E+00,-99.46989E+00
+505.000E+00,-98.22629E+00
+510.000E+00,-94.70945E+00
+515.000E+00,-96.61176E+00
+520.000E+00,-99.46989E+00
+525.000E+00,-99.46989E+00
+530.000E+00,-99.30136E+00
+535.000E+00,-94.46415E+00
+540.000E+00,-99.46989E+00
+545.000E+00,-99.46989E+00
+550.000E+00,-96.82465E+00
+555.000E+00,-99.46989E+00
+560.000E+00,-98.72859E+00
+565.000E+00,-99.46989E+00
+570.000E+00,-99.46989E+00
+575.000E+00,-97.33172E+00
+580.000E+00,-98.82262E+00
+585.000E+00,-97.83650E+00
+590.000E+00,-98.08690E+00
+595.000E+00,-95.70727E+00
+600.000E+00,-36.29668E+00
+605.000E+00,-87.58935E+00
+610.000E+00,-97.82243E+00
+615.000E+00,-98.71690E+00
+620.000E+00,-98.50209E+00
+625.000E+00,-99.46989E+00
+630.000E+00,-99.46989E+00
+635.000E+00,-99.46989E+00
+640.000E+00,-99.46989E+00
+645.000E+00,-99.02761E+00
+650.000E+00,-99.11019E+00
+655.000E+00,-99.46989E+00
+660.000E+00,-99.46989E+00
+665.000E+00,-99.46989E+00
+670.000E+00,-99.46989E+00
+675.000E+00,-98.22487E+00
+680.000E+00,-99.36961E+00
+685.000E+00,-99.46989E+00
+690.000E+00,-99.46989E+00
+695.000E+00,-99.46989E+00
+700.000E+00,-97.53275E+00
+705.000E+00,-98.68227E+00
+710.000E+00,-95.98332E+00
+715.000E+00,-99.46989E+00
+720.000E+00,-99.46989E+00
+725.000E+00,-98.57594E+00
+730.000E+00,-99.46989E+00
+735.000E+00,-99.46989E+00
+740.000E+00,-99.46989E+00
+745.000E+00,-99.46989E+00
+750.000E+00,-99.08092E+00
+755.000E+00,-99.46989E+00
+760.000E+00,-99.46989E+00
+765.000E+00,-98.52008E+00
+770.000E+00,-96.41031E+00
+775.000E+00,-98.80708E+00
+780.000E+00,-99.46989E+00
+785.000E+00,-99.20854E+00
+790.000E+00,-97.34200E+00
+795.000E+00,-79.72001E+00
