x-axis,FFT
Hertz,dBV
+0.0E+00,-80.61633E+00
+5.000E+00,-86.70664E+00
+10.000E+00,-90.08111E+00
+15.000E+00,-95.80589E+00
+20.000E+00,-92.67620E+00
+25.000E+00,-90.34111E+00
+30.000E+00,-88.78576E+00
+35.000E+00,-94.42995E+00
+40.000E+00,-94.00712E+00
+45.000E+00,-93.88970E+00
+50.000E+00,-96.31381E+00
+55.000E+00,-97.42900E+00
+60.000E+00,-96.16539E+00
+65.000E+00,-91.39599E+00
+70.000E+00,-94.50108E+00
+75.000E+00,-97.14500E+00
+80.000E+00,-106.87159E+00
+85.000E+00,-103.46033E+00
+90.000E+00,-104.03142E+00
+95.000E+00,-100.33915E+00
+100.000E+00,-97.41359E+00
+105.000E+00,-102.84463E+00
+110.000E+00,-99.42632E+00
+115.000E+00,-97.19226E+00
+120.000E+00,-97.07691E+00
+125.000E+00,-95.46345E+00
+130.000E+00,-102.07749E+00
+135.000E+00,-103.24956E+00
+140.000E+00,-97.82452E+00
+145.000E+00,-101.93313E+00
+150.000E+00,-101.60865E+00
+155.000E+00,-98.66161E+00
+160.000E+00,-106.93506E+00
+165.000E+00,-111.24610E+00
+170.000E+00,-103.49254E+00
+175.000E+00,-97.33261E+00
+180.000E+00,-91.44068E+00
+185.000E+00,-89.09572E+00
+190.000E+00,-77.38153E+00
+195.000E+00,-53.61225E+00
+200.000E+00,-46.61917E+00
+205.000E+00,-52.47375E+00
+210.000E+00,-89.15549E+00
+215.000E+00,-96.24458E+00
+220.000E+00,-94.85064E+00
+225.000E+00,-100.85550E+00
+230.000E+00,-98.79826E+00
+235.000E+00,-100.10710E+00
+240.000E+00,-103.27980E+00
+245.000E+00,-99.87073E+00
+250.000E+00,-97.11227E+00
+255.000E+00,-101.17963E+00
+260.000E+00,-105.38290E+00
+265.000E+00,-103.82010E+00
+270.000E+00,-108.29520E+00
+275.000E+00,-103.01390E+00
+280.000E+00,-98.05569E+00
+285.000E+00,-99.91383E+00
+290.000E+00,-105.20752E+00
+295.000E+00,-105.37581E+00
+300.000E+00,-99.86374E+00
+305.000E+00,-103.73271E+00
+310.000E+00,-107.35788E+00
+315.000E+00,-107.21664E+00
+320.000E+00,-103.96271E+00
+325.000E+00,-103.14479E+00
+330.000E+00,-97.81069E+00
+335.000E+00,-100.09045E+00
+340.000E+00,-99.43120E+00
+345.000E+00,-100.70805E+00
+350.000E+00,-111.95472E+00
+355.000E+00,-114.07000E+00
+360.000E+00,-98.98423E+00
+365.000E+00,-98.12632E+00
+370.000E+00,-91.29916E+00
+375.000E+00,-88.64336E+00
+380.000E+00,-84.43214E+00
+385.000E+00,-76.63017E+00
+390.000E+00,-65.59406E+00
+395.000E+00,-44.69315E+00
+400.000E+00,-37.48028E+00
