x-axis,F1
Hertz,dBV
+935.000E+00,-27.382185E+00
+940.000E+00,-26.747177E+00
+945.000E+00,-26.112169E+00
+950.000E+00,-25.477161E+00
+955.000E+00,-25.012647E+00
+960.000E+00,-25.020679E+00
+965.000E+00,-25.028711E+00
+970.000E+00,-25.036743E+00
+975.000E+00,-25.044775E+00
+980.000E+00,-25.052807E+00
+985.000E+00,-25.060839E+00
+990.000E+00,-25.068871E+00
+995.000E+00,-25.076903E+00
+1.000000E+03,-25.084935E+00
+1.005000E+03,-25.092967E+00
+1.010000E+03,-25.100999E+00
+1.015000E+03,-25.109031E+00
+1.020000E+03,-25.117063E+00
+1.025000E+03,-25.125095E+00
+1.030000E+03,-25.133127E+00
+1.035000E+03,-25.141159E+00
+1.040000E+03,-25.149191E+00
+1.045000E+03,-25.157223E+00
+1.050000E+03,-25.290493E+00
+1.055000E+03,-25.951997E+00
+1.060000E+03,-26.613501E+00
+1.065000E+03,-27.275005E+00
+1.070000E+03,-27.936509E+00
+1.075000E+03,-28.598013E+00
+1.080000E+03,-29.259517E+00
+1.085000E+03,-29.921021E+00
+1.090000E+03,-30.582525E+00
+1.095000E+03,-31.244029E+00
+1.100000E+03,-31.905533E+00
+1.105000E+03,-32.567037E+00
+1.110000E+03,-33.228541E+00
+1.115000E+03,-33.890045E+00
+1.120000E+03,-34.551549E+00
+1.125000E+03,-35.213053E+00
+1.130000E+03,-35.874557E+00
+1.135000E+03,-36.536061E+00
+1.140000E+03,-37.197565E+00
+1.145000E+03,-37.889591E+00
+1.150000E+03,-38.809399E+00
+1.155000E+03,-39.729207E+00
+1.160000E+03,-40.649015E+00
+1.165000E+03,-41.568823E+00
+1.170000E+03,-42.488631E+00
+1.175000E+03,-43.408439E+00
+1.180000E+03,-44.328247E+00
+1.185000E+03,-45.248055E+00
+1.190000E+03,-46.167863E+00
+1.195000E+03,-47.087671E+00
+1.200000E+03,-48.007479E+00
+1.205000E+03,-48.927287E+00
+1.210000E+03,-49.847095E+00
+1.215000E+03,-50.766903E+00
+1.220000E+03,-51.686711E+00
+1.225000E+03,-52.606519E+00
+1.230000E+03,-53.526327E+00
+1.235000E+03,-54.446135E+00
+1.240000E+03,-55.335648E+00
+1.245000E+03,-55.577376E+00
+1.250000E+03,-55.819104E+00
+1.255000E+03,-56.060832E+00
+1.260000E+03,-56.302560E+00
+1.265000E+03,-56.544288E+00
+1.270000E+03,-56.786016E+00
+1.275000E+03,-57.027744E+00
+1.280000E+03,-57.269472E+00
+1.285000E+03,-57.511200E+00
+1.290000E+03,-57.752928E+00
+1.295000E+03,-57.994656E+00
