x-axis,FFT
Hertz,dBV
+930.000E+00,-47.38248E+00
+935.000E+00,-54.72194E+00
+940.000E+00,-44.55942E+00
+945.000E+00,-44.68640E+00
+950.000E+00,-45.86948E+00
+955.000E+00,-49.94823E+00
+960.000E+00,-46.94316E+00
+965.000E+00,-44.83550E+00
+970.000E+00,-44.92095E+00
+975.000E+00,-48.99497E+00
+980.000E+00,-49.03523E+00
+985.000E+00,-45.07289E+00
+990.000E+00,-44.25425E+00
+995.000E+00,-51.89853E+00
+1.000000E+03,-49.76251E+00
+1.005000E+03,-45.37855E+00
+1.010000E+03,-43.80632E+00
+1.015000E+03,-53.90609E+00
+1.020000E+03,-47.97851E+00
+1.025000E+03,-45.61129E+00
+1.030000E+03,-43.55937E+00
+1.035000E+03,-52.81197E+00
+1.040000E+03,-46.37933E+00
+1.045000E+03,-45.68802E+00
+1.050000E+03,-45.97711E+00
+1.055000E+03,-50.26004E+00
+1.060000E+03,-45.20120E+00
+1.065000E+03,-45.54507E+00
+1.070000E+03,-48.98717E+00
+1.075000E+03,-49.14968E+00
+1.080000E+03,-44.12723E+00
+1.085000E+03,-47.20543E+00
+1.090000E+03,-56.02259E+00
+1.095000E+03,-50.33958E+00
+1.100000E+03,-43.17132E+00
+1.105000E+03,-51.12558E+00
+1.110000E+03,-55.36294E+00
+1.115000E+03,-47.45258E+00
+1.120000E+03,-42.98183E+00
+1.125000E+03,-53.11606E+00
+1.130000E+03,-46.39215E+00
+1.135000E+03,-46.54328E+00
+1.140000E+03,-46.43919E+00
+1.145000E+03,-52.84391E+00
+1.150000E+03,-43.14874E+00
+1.155000E+03,-48.97627E+00
+1.160000E+03,-58.64579E+00
+1.165000E+03,-50.17405E+00
+1.170000E+03,-43.60230E+00
+1.175000E+03,-46.98148E+00
+1.180000E+03,-47.77601E+00
+1.185000E+03,-46.52140E+00
+1.190000E+03,-48.95605E+00
+1.195000E+03,-47.15243E+00
+1.200000E+03,-43.22675E+00
+1.205000E+03,-52.49240E+00
+1.210000E+03,-52.79553E+00
+1.215000E+03,-47.33846E+00
+1.220000E+03,-44.58333E+00
+1.225000E+03,-50.31145E+00
+1.230000E+03,-42.48685E+00
+1.235000E+03,-48.92728E+00
+1.240000E+03,-61.17988E+00
+1.245000E+03,-48.60556E+00
+1.250000E+03,-44.17321E+00
+1.255000E+03,-49.55430E+00
+1.260000E+03,-43.27705E+00
+1.265000E+03,-51.28263E+00
+1.270000E+03,-61.19510E+00
+1.275000E+03,-49.07808E+00
+1.280000E+03,-45.55690E+00
+1.285000E+03,-45.65288E+00
+1.290000E+03,-43.18983E+00
+1.295000E+03,-50.66567E+00
+1.300000E+03,-51.56027E+00
+1.305000E+03,-47.88341E+00
+1.310000E+03,-48.03163E+00
+1.315000E+03,-46.69251E+00
+1.320000E+03,-42.04152E+00
+1.325000E+03,-50.65634E+00
+1.330000E+03,-43.72540E+00
+1.335000E+03,-49.51313E+00
+1.340000E+03,-73.85696E+00
+1.345000E+03,-49.57293E+00
+1.350000E+03,-44.34323E+00
+1.355000E+03,-50.21934E+00
+1.360000E+03,-41.80788E+00
+1.365000E+03,-45.49551E+00
+1.370000E+03,-44.59212E+00
+1.375000E+03,-53.56890E+00
+1.380000E+03,-62.44709E+00
+1.385000E+03,-50.45161E+00
+1.390000E+03,-47.02146E+00
+1.395000E+03,-45.32412E+00
+1.400000E+03,-42.15641E+00
+1.405000E+03,-43.75833E+00
+1.410000E+03,-41.87711E+00
+1.415000E+03,-48.62440E+00
+1.420000E+03,-45.14697E+00
+1.425000E+03,-52.07957E+00
+1.430000E+03,-57.64429E+00
+1.435000E+03,-50.89618E+00
+1.440000E+03,-46.51114E+00
+1.445000E+03,-50.56056E+00
+1.450000E+03,-41.27266E+00
+1.455000E+03,-47.92247E+00
+1.460000E+03,-39.70369E+00
+1.465000E+03,-43.68054E+00
+1.470000E+03,-39.53868E+00
+1.475000E+03,-41.61187E+00
+1.480000E+03,-40.27872E+00
+1.485000E+03,-41.62864E+00
+1.490000E+03,-41.68620E+00
+1.495000E+03,-43.35127E+00
+1.500000E+03,-43.61767E+00
+1.505000E+03,-46.66025E+00
+1.510000E+03,-46.01553E+00
+1.515000E+03,-51.11909E+00
+1.520000E+03,-48.49133E+00
+1.525000E+03,-56.44834E+00
+1.530000E+03,-51.22607E+00
+1.535000E+03,-60.67302E+00
+1.540000E+03,-53.97528E+00
+1.545000E+03,-63.51188E+00
+1.550000E+03,-58.38200E+00
+1.555000E+03,-65.21277E+00
+1.560000E+03,-63.23420E+00
+1.565000E+03,-68.02791E+00
+1.570000E+03,-69.05165E+00
+1.575000E+03,-71.98851E+00
+1.580000E+03,-73.32754E+00
+1.585000E+03,-76.92989E+00
+1.590000E+03,-80.46535E+00
+1.595000E+03,-83.14850E+00
+1.600000E+03,-85.46645E+00
+1.605000E+03,-90.08891E+00
+1.610000E+03,-89.44792E+00
+1.615000E+03,-97.04897E+00
+1.620000E+03,-95.99275E+00
+1.625000E+03,-97.68723E+00
+1.630000E+03,-105.89308E+00
+1.635000E+03,-99.79078E+00
+1.640000E+03,-94.31128E+00
+1.645000E+03,-94.21808E+00
+1.650000E+03,-97.33096E+00
+1.655000E+03,-95.33434E+00
+1.660000E+03,-93.58224E+00
+1.665000E+03,-100.50318E+00
+1.670000E+03,-110.86968E+00
+1.675000E+03,-110.04708E+00
+1.680000E+03,-116.90232E+00
+1.685000E+03,-118.79014E+00
+1.690000E+03,-107.69199E+00
+1.695000E+03,-100.16064E+00
+1.700000E+03,-96.41798E+00
+1.705000E+03,-95.13433E+00
+1.710000E+03,-95.75511E+00
+1.715000E+03,-93.55342E+00
+1.720000E+03,-91.24188E+00
+1.725000E+03,-93.62850E+00
+1.730000E+03,-100.72195E+00
+1.735000E+03,-103.28401E+00
+1.740000E+03,-97.97839E+00
+1.745000E+03,-98.41778E+00
+1.750000E+03,-97.63857E+00
+1.755000E+03,-100.89144E+00
+1.760000E+03,-97.51757E+00
+1.765000E+03,-99.70074E+00
+1.770000E+03,-103.24945E+00
+1.775000E+03,-99.39636E+00
+1.780000E+03,-99.20543E+00
+1.785000E+03,-99.87639E+00
+1.790000E+03,-97.80107E+00
+1.795000E+03,-98.02604E+00
+1.800000E+03,-99.27890E+00
+1.805000E+03,-95.77081E+00
+1.810000E+03,-92.26794E+00
+1.815000E+03,-91.89582E+00
+1.820000E+03,-91.27575E+00
+1.825000E+03,-95.17428E+00
+1.830000E+03,-101.36513E+00
+1.835000E+03,-100.56821E+00
+1.840000E+03,-97.74548E+00
+1.845000E+03,-95.79907E+00
+1.850000E+03,-100.09618E+00
+1.855000E+03,-106.11941E+00
+1.860000E+03,-104.56398E+00
+1.865000E+03,-106.75450E+00
+1.870000E+03,-102.55704E+00
+1.875000E+03,-99.84788E+00
+1.880000E+03,-96.22121E+00
+1.885000E+03,-97.37874E+00
+1.890000E+03,-102.55652E+00
+1.895000E+03,-103.71120E+00
+1.900000E+03,-96.48855E+00
+1.905000E+03,-93.56906E+00
+1.910000E+03,-93.39851E+00
+1.915000E+03,-96.70361E+00
+1.920000E+03,-98.44172E+00
+1.925000E+03,-93.93952E+00
+1.930000E+03,-92.24370E+00
+1.935000E+03,-99.20566E+00
+1.940000E+03,-104.60659E+00
+1.945000E+03,-98.13095E+00
+1.950000E+03,-101.04651E+00
+1.955000E+03,-105.36628E+00
+1.960000E+03,-99.46444E+00
+1.965000E+03,-99.31841E+00
+1.970000E+03,-103.96111E+00
+1.975000E+03,-102.47772E+00
+1.980000E+03,-96.01785E+00
+1.985000E+03,-95.09768E+00
+1.990000E+03,-96.38601E+00
+1.995000E+03,-101.34687E+00
+2.000000E+03,-105.00280E+00
+2.005000E+03,-106.60888E+00
+2.010000E+03,-105.91283E+00
+2.015000E+03,-113.58296E+00
+2.020000E+03,-107.69049E+00
+2.025000E+03,-95.79417E+00
+2.030000E+03,-96.41818E+00
+2.035000E+03,-101.01956E+00
+2.040000E+03,-100.04152E+00
+2.045000E+03,-110.14259E+00
+2.050000E+03,-103.17857E+00
+2.055000E+03,-99.62631E+00
+2.060000E+03,-92.27220E+00
+2.065000E+03,-93.23781E+00
+2.070000E+03,-94.51618E+00
+2.075000E+03,-101.27197E+00
+2.080000E+03,-99.08820E+00
+2.085000E+03,-96.92214E+00
+2.090000E+03,-95.81535E+00
