x-axis,F1
Hertz,dBV
+0.0E+00,-98.93766E+00
+5.000E+00,-94.00734E+00
+10.000E+00,-98.04615E+00
+15.000E+00,-99.19164E+00
+20.000E+00,-98.23766E+00
+25.000E+00,-94.54147E+00
+30.000E+00,-97.10742E+00
+35.000E+00,-99.46989E+00
+40.000E+00,-98.49139E+00
+45.000E+00,-99.32078E+00
+50.000E+00,-98.67571E+00
+55.000E+00,-99.46989E+00
+60.000E+00,-99.22552E+00
+65.000E+00,-99.46989E+00
+70.000E+00,-99.46989E+00
+75.000E+00,-98.45468E+00
+80.000E+00,-99.46989E+00
+85.000E+00,-94.85344E+00
+90.000E+00,-99.24158E+00
+95.000E+00,-99.46989E+00
+100.000E+00,-93.33847E+00
+105.000E+00,-99.46989E+00
+110.000E+00,-98.79658E+00
+115.000E+00,-98.04866E+00
+120.000E+00,-99.46989E+00
+125.000E+00,-99.46989E+00
+130.000E+00,-98.80262E+00
+135.000E+00,-99.46989E+00
+140.000E+00,-98.30001E+00
+145.000E+00,-99.46989E+00
+150.000E+00,-98.56221E+00
+155.000E+00,-99.46989E+00
+160.000E+00,-98.14564E+00
+165.000E+00,-99.46989E+00
+170.000E+00,-99.46989E+00
+175.000E+00,-99.46989E+00
+180.000E+00,-99.36069E+00
+185.000E+00,-95.42398E+00
+190.000E+00,-99.46989E+00
+195.000E+00,-98.49665E+00
+200.000E+00,-96.96163E+00
+205.000E+00,-99.46989E+00
+210.000E+00,-99.46989E+00
+215.000E+00,-99.46989E+00
+220.000E+00,-98.90368E+00
+225.000E+00,-99.46989E+00
+230.000E+00,-99.46989E+00
+235.000E+00,-97.40168E+00
+240.000E+00,-98.99471E+00
+245.000E+00,-99.46989E+00
+250.000E+00,-98.50429E+00
+255.000E+00,-93.24807E+00
+260.000E+00,-99.46989E+00
+265.000E+00,-99.46989E+00
+270.000E+00,-99.46820E+00
+275.000E+00,-99.46989E+00
+280.000E+00,-99.46989E+00
+285.000E+00,-99.46989E+00
+290.000E+00,-99.46989E+00
+295.000E+00,-99.46989E+00
+300.000E+00,-99.46989E+00
+305.000E+00,-99.46989E+00
+310.000E+00,-99.46989E+00
+315.000E+00,-98.98712E+00
+320.000E+00,-99.46989E+00
+325.000E+00,-99.46989E+00
+330.000E+00,-99.46989E+00
+335.000E+00,-95.06809E+00
+340.000E+00,-99.46989E+00
+345.000E+00,-99.46989E+00
+350.000E+00,-99.46989E+00
+355.000E+00,-99.46989E+00
+360.000E+00,-96.07408E+00
+365.000E+00,-98.22299E+00
+370.000E+00,-99.46989E+00
+375.000E+00,-99.46989E+00
+380.000E+00,-98.03951E+00
+385.000E+00,-99.46989E+00
+390.000E+00,-98.92482E+00
+395.000E+00,-97.62215E+00
+400.000E+00,-75.79825E+00
+405.000E+00,-99.46989E+00
+410.000E+00,-95.77259E+00
+415.000E+00,-99.46989E+00
+420.000E+00,-99.46989E+00
+425.000E+00,-99.46989E+00
+430.000E+00,-99.46989E+00
+435.000E+00,-99.36215E+00
+440.000E+00,-97.00786E+00
+445.000E+00,-99.46989E+00
+450.000E+00,-99.46989E+00
+455.000E+00,-99.46989E+00
+460.000E+00,-99.29078E+00
+465.000E+00,-98.90157E+00
+470.000E+00,-96.01364E+00
+475.000E+00,-99.46989E+00
+480.000E+00,-99.46989E+00
+485.000E+00,-99.46989E+00
+490.000E+00,-99.46989E+00
+495.000E+00,-99.04094E+00
+500.000E+00,-99.46989E+00
+505.000E+00,-98.75693E+00
+510.000E+00,-99.46989E+00
+515.000E+00,-99.46989E+00
+520.000E+00,-97.79586E+00
+525.000E+00,-98.94308E+00
+530.000E+00,-98.10979E+00
+535.000E+00,-99.39719E+00
+540.000E+00,-99.46989E+00
+545.000E+00,-97.76745E+00
+550.000E+00,-99.46989E+00
+555.000E+00,-99.46989E+00
+560.000E+00,-99.46989E+00
+565.000E+00,-99.46989E+00
+570.000E+00,-99.46989E+00
