x-axis,FFT
Hertz,dBV
-10.000E+00,
-5.000E+00,
+0.0E+00,-78.01880E+00
+5.000E+00,-84.85146E+00
+10.000E+00,-91.68846E+00
+15.000E+00,-93.42892E+00
+20.000E+00,-95.42218E+00
+25.000E+00,-95.63416E+00
+30.000E+00,-91.50420E+00
+35.000E+00,-96.75197E+00
+40.000E+00,-100.34790E+00
+45.000E+00,-104.07445E+00
+50.000E+00,-103.06519E+00
+55.000E+00,-97.36184E+00
+60.000E+00,-100.34084E+00
+65.000E+00,-104.00810E+00
+70.000E+00,-109.15772E+00
+75.000E+00,-108.29274E+00
+80.000E+00,-99.45041E+00
+85.000E+00,-103.69421E+00
+90.000E+00,-98.20748E+00
+95.000E+00,-100.81219E+00
+100.000E+00,-99.22879E+00
+105.000E+00,-97.71203E+00
+110.000E+00,-96.79064E+00
+115.000E+00,-101.18018E+00
+120.000E+00,-100.14435E+00
+125.000E+00,-106.09117E+00
+130.000E+00,-102.39395E+00
+135.000E+00,-101.91189E+00
+140.000E+00,-110.39004E+00
+145.000E+00,-106.15426E+00
+150.000E+00,-100.31203E+00
+155.000E+00,-106.08581E+00
+160.000E+00,-113.89884E+00
+165.000E+00,-104.93699E+00
+170.000E+00,-98.92475E+00
+175.000E+00,-98.46383E+00
+180.000E+00,-105.64129E+00
+185.000E+00,-113.59883E+00
+190.000E+00,-99.23843E+00
+195.000E+00,-101.94840E+00
+200.000E+00,-100.98765E+00
+205.000E+00,-96.14486E+00
+210.000E+00,-92.25883E+00
+215.000E+00,-101.14923E+00
+220.000E+00,-98.15700E+00
+225.000E+00,-102.30357E+00
+230.000E+00,-101.84895E+00
+235.000E+00,-104.92345E+00
+240.000E+00,-106.36025E+00
+245.000E+00,-114.19478E+00
+250.000E+00,-101.49790E+00
+255.000E+00,-99.47451E+00
+260.000E+00,-102.06846E+00
+265.000E+00,-101.96955E+00
+270.000E+00,-96.93200E+00
+275.000E+00,-93.96208E+00
+280.000E+00,-101.72151E+00
+285.000E+00,-98.88655E+00
+290.000E+00,-99.88670E+00
+295.000E+00,-96.38908E+00
+300.000E+00,-96.64386E+00
+305.000E+00,-95.95603E+00
+310.000E+00,-101.26916E+00
+315.000E+00,-103.40008E+00
+320.000E+00,-100.88521E+00
+325.000E+00,-106.95919E+00
+330.000E+00,-107.04937E+00
+335.000E+00,-103.66891E+00
+340.000E+00,-107.46501E+00
+345.000E+00,-106.50359E+00
+350.000E+00,-102.27654E+00
+355.000E+00,-104.80868E+00
+360.000E+00,-107.72364E+00
+365.000E+00,-106.92360E+00
+370.000E+00,-102.00026E+00
+375.000E+00,-94.49193E+00
+380.000E+00,-94.20957E+00
+385.000E+00,-96.39553E+00
+390.000E+00,-97.37226E+00
+395.000E+00,-96.08465E+00
+400.000E+00,-103.20775E+00
+405.000E+00,-119.81032E+00
+410.000E+00,-123.08657E+00
+415.000E+00,-100.77082E+00
+420.000E+00,-104.33084E+00
+425.000E+00,-100.72510E+00
+430.000E+00,-100.93197E+00
+435.000E+00,-100.89890E+00
+440.000E+00,-103.36186E+00
+445.000E+00,-98.98580E+00
+450.000E+00,-97.82586E+00
+455.000E+00,-99.99443E+00
+460.000E+00,-105.27478E+00
+465.000E+00,-104.67679E+00
+470.000E+00,-107.19389E+00
+475.000E+00,-108.71997E+00
+480.000E+00,-108.80736E+00
+485.000E+00,-100.09944E+00
+490.000E+00,-96.10544E+00
+495.000E+00,-101.27924E+00
+500.000E+00,-105.26810E+00
+505.000E+00,-99.41427E+00
+510.000E+00,-95.43940E+00
+515.000E+00,-103.58430E+00
+520.000E+00,-107.71659E+00
+525.000E+00,-107.08971E+00
+530.000E+00,-98.71823E+00
+535.000E+00,-100.98815E+00
+540.000E+00,-106.91728E+00
+545.000E+00,-104.44393E+00
+550.000E+00,-101.66529E+00
+555.000E+00,-104.73584E+00
+560.000E+00,-110.56418E+00
+565.000E+00,-115.26088E+00
+570.000E+00,-109.15461E+00
+575.000E+00,-98.61925E+00
+580.000E+00,-97.52064E+00
+585.000E+00,-99.68360E+00
+590.000E+00,-98.72827E+00
+595.000E+00,-98.78778E+00
+600.000E+00,-99.84971E+00
+605.000E+00,-102.37356E+00
+610.000E+00,-106.75159E+00
+615.000E+00,-102.26161E+00
+620.000E+00,-99.07501E+00
+625.000E+00,-101.02228E+00
+630.000E+00,-109.17979E+00
+635.000E+00,-104.89361E+00
+640.000E+00,-98.04142E+00
+645.000E+00,-102.19832E+00
+650.000E+00,-108.94869E+00
+655.000E+00,-111.97580E+00
+660.000E+00,-110.42286E+00
+665.000E+00,-114.42488E+00
+670.000E+00,-118.51017E+00
+675.000E+00,-113.25019E+00
+680.000E+00,-110.33023E+00
+685.000E+00,-113.18751E+00
+690.000E+00,-105.32836E+00
+695.000E+00,-106.23733E+00
+700.000E+00,-105.50824E+00
+705.000E+00,-102.72228E+00
+710.000E+00,-102.59942E+00
+715.000E+00,-99.91581E+00
+720.000E+00,-99.63322E+00
+725.000E+00,-99.41683E+00
+730.000E+00,-96.74177E+00
+735.000E+00,-104.45069E+00
+740.000E+00,-104.44095E+00
+745.000E+00,-103.70940E+00
+750.000E+00,-103.74579E+00
+755.000E+00,-102.43112E+00
+760.000E+00,-102.59098E+00
+765.000E+00,-102.05004E+00
+770.000E+00,-100.48899E+00
+775.000E+00,-100.94596E+00
+780.000E+00,-101.30064E+00
+785.000E+00,-103.38167E+00
+790.000E+00,-104.82471E+00
+795.000E+00,-106.47078E+00
+800.000E+00,-109.37754E+00
+805.000E+00,-105.15689E+00
+810.000E+00,-101.73658E+00
+815.000E+00,-100.09900E+00
+820.000E+00,-99.38245E+00
+825.000E+00,-96.77043E+00
+830.000E+00,-88.77014E+00
+835.000E+00,-86.11223E+00
+840.000E+00,-78.82074E+00
+845.000E+00,-79.40712E+00
+850.000E+00,-71.14229E+00
+855.000E+00,-70.56900E+00
+860.000E+00,-63.31755E+00
+865.000E+00,-61.45849E+00
+870.000E+00,-55.96293E+00
+875.000E+00,-53.05446E+00
+880.000E+00,-49.11702E+00
+885.000E+00,-46.09298E+00
+890.000E+00,-43.07870E+00
+895.000E+00,-41.13833E+00
+900.000E+00,-38.18704E+00
+905.000E+00,-38.65307E+00
+910.000E+00,-34.72934E+00
+915.000E+00,-39.10988E+00
+920.000E+00,-33.34722E+00
+925.000E+00,-41.26454E+00
+930.000E+00,-36.41815E+00
+935.000E+00,-42.34494E+00
+940.000E+00,-55.40091E+00
+945.000E+00,-43.02110E+00
