x-axis,FFT
Hertz,dBV
-10.000E+00,
-5.000E+00,
+0.0E+00,-96.16333E+00
+5.000E+00,-89.12739E+00
+10.000E+00,-88.42185E+00
+15.000E+00,-95.43666E+00
+20.000E+00,-95.84071E+00
+25.000E+00,-92.63026E+00
+30.000E+00,-96.20382E+00
+35.000E+00,-94.69113E+00
+40.000E+00,-98.39646E+00
+45.000E+00,-92.03247E+00
+50.000E+00,-95.56877E+00
+55.000E+00,-104.06889E+00
+60.000E+00,-99.33038E+00
+65.000E+00,-96.35237E+00
+70.000E+00,-100.19124E+00
+75.000E+00,-99.78771E+00
+80.000E+00,-100.93551E+00
+85.000E+00,-95.77452E+00
+90.000E+00,-100.50871E+00
+95.000E+00,-101.50079E+00
+100.000E+00,-115.33574E+00
+105.000E+00,-103.97558E+00
+110.000E+00,-97.88698E+00
+115.000E+00,-97.72458E+00
+120.000E+00,-96.94769E+00
+125.000E+00,-95.74726E+00
+130.000E+00,-92.32836E+00
+135.000E+00,-93.48504E+00
+140.000E+00,-99.46455E+00
+145.000E+00,-104.49168E+00
+150.000E+00,-100.89508E+00
+155.000E+00,-96.79691E+00
+160.000E+00,-96.69483E+00
+165.000E+00,-100.15646E+00
+170.000E+00,-99.91978E+00
+175.000E+00,-98.86490E+00
+180.000E+00,-102.73489E+00
+185.000E+00,-101.64131E+00
+190.000E+00,-104.91830E+00
+195.000E+00,-113.47488E+00
+200.000E+00,-102.91194E+00
+205.000E+00,-100.54999E+00
+210.000E+00,-104.07470E+00
+215.000E+00,-100.49021E+00
+220.000E+00,-101.16763E+00
+225.000E+00,-97.61996E+00
+230.000E+00,-99.84703E+00
+235.000E+00,-106.88914E+00
+240.000E+00,-97.30816E+00
+245.000E+00,-95.42159E+00
+250.000E+00,-100.20224E+00
+255.000E+00,-102.43848E+00
+260.000E+00,-100.68666E+00
+265.000E+00,-98.19613E+00
+270.000E+00,-96.29615E+00
+275.000E+00,-103.19482E+00
+280.000E+00,-102.01212E+00
+285.000E+00,-101.50762E+00
+290.000E+00,-100.77933E+00
+295.000E+00,-104.26195E+00
+300.000E+00,-115.24053E+00
+305.000E+00,-109.62117E+00
+310.000E+00,-104.52019E+00
+315.000E+00,-103.59227E+00
+320.000E+00,-107.23007E+00
+325.000E+00,-96.95278E+00
+330.000E+00,-97.63453E+00
+335.000E+00,-98.48950E+00
+340.000E+00,-99.34852E+00
+345.000E+00,-98.19669E+00
+350.000E+00,-94.72705E+00
+355.000E+00,-95.31980E+00
+360.000E+00,-96.94289E+00
+365.000E+00,-101.51706E+00
+370.000E+00,-101.48212E+00
+375.000E+00,-98.29951E+00
+380.000E+00,-115.34293E+00
+385.000E+00,-111.90282E+00
+390.000E+00,-106.94863E+00
+395.000E+00,-105.99514E+00
+400.000E+00,-100.56083E+00
+405.000E+00,-98.69258E+00
+410.000E+00,-109.48854E+00
+415.000E+00,-106.62338E+00
+420.000E+00,-101.09747E+00
+425.000E+00,-98.20911E+00
+430.000E+00,-104.81344E+00
+435.000E+00,-98.36049E+00
+440.000E+00,-100.24826E+00
+445.000E+00,-104.02934E+00
+450.000E+00,-103.60605E+00
+455.000E+00,-99.84575E+00
+460.000E+00,-95.61168E+00
+465.000E+00,-96.54942E+00
+470.000E+00,-98.96131E+00
+475.000E+00,-96.83568E+00
+480.000E+00,-96.56809E+00
+485.000E+00,-102.32504E+00
+490.000E+00,-106.65120E+00
+495.000E+00,-103.22156E+00
+500.000E+00,-101.52637E+00
+505.000E+00,-104.12423E+00
+510.000E+00,-96.42439E+00
+515.000E+00,-97.25912E+00
+520.000E+00,-101.38058E+00
+525.000E+00,-98.77724E+00
+530.000E+00,-98.90061E+00
+535.000E+00,-99.58655E+00
+540.000E+00,-104.18582E+00
+545.000E+00,-100.49859E+00
+550.000E+00,-103.51638E+00
+555.000E+00,-106.23904E+00
+560.000E+00,-100.46644E+00
+565.000E+00,-97.89147E+00
+570.000E+00,-98.43240E+00
+575.000E+00,-96.70593E+00
+580.000E+00,-94.21856E+00
+585.000E+00,-96.92409E+00
+590.000E+00,-98.95872E+00
+595.000E+00,-95.15539E+00
+600.000E+00,-92.31580E+00
+605.000E+00,-89.55988E+00
+610.000E+00,-86.73052E+00
+615.000E+00,-81.90050E+00
+620.000E+00,-78.40881E+00
+625.000E+00,-74.32308E+00
+630.000E+00,-71.53421E+00
+635.000E+00,-68.79385E+00
+640.000E+00,-65.89828E+00
+645.000E+00,-63.15249E+00
+650.000E+00,-60.32465E+00
+655.000E+00,-57.72724E+00
+660.000E+00,-55.09591E+00
+665.000E+00,-52.75697E+00
+670.000E+00,-50.49960E+00
+675.000E+00,-48.35105E+00
+680.000E+00,-46.39256E+00
+685.000E+00,-44.47567E+00
+690.000E+00,-42.81799E+00
+695.000E+00,-41.22905E+00
+700.000E+00,-39.87692E+00
+705.000E+00,-38.72935E+00
+710.000E+00,-37.63876E+00
+715.000E+00,-37.06624E+00
+720.000E+00,-36.30136E+00
+725.000E+00,-36.46659E+00
+730.000E+00,-36.34909E+00
+735.000E+00,-37.30591E+00
+740.000E+00,-38.38144E+00
+745.000E+00,-40.86641E+00
+750.000E+00,-45.05871E+00
+755.000E+00,-52.13663E+00
+760.000E+00,-54.30679E+00
+765.000E+00,-45.03651E+00
+770.000E+00,-40.67572E+00
+775.000E+00,-39.09406E+00
+780.000E+00,-38.42222E+00
+785.000E+00,-39.54089E+00
+790.000E+00,-41.52773E+00
+795.000E+00,-48.83391E+00
+800.000E+00,-58.02313E+00
+805.000E+00,-47.50233E+00
+810.000E+00,-41.12830E+00
+815.000E+00,-39.90979E+00
+820.000E+00,-38.99806E+00
+825.000E+00,-42.28228E+00
+830.000E+00,-47.60550E+00
+835.000E+00,-57.66002E+00
+840.000E+00,-44.17536E+00
+845.000E+00,-41.37834E+00
+850.000E+00,-39.61218E+00
+855.000E+00,-42.06561E+00
+860.000E+00,-48.02546E+00
+865.000E+00,-50.54631E+00
+870.000E+00,-44.43874E+00
+875.000E+00,-41.28221E+00
+880.000E+00,-40.32769E+00
+885.000E+00,-44.97145E+00
+890.000E+00,-58.30154E+00
+895.000E+00,-50.37454E+00
+900.000E+00,-41.54415E+00
+905.000E+00,-41.36586E+00
+910.000E+00,-42.30917E+00
+915.000E+00,-55.32178E+00
+920.000E+00,-47.35041E+00
+925.000E+00,-42.72649E+00
+930.000E+00,-39.85939E+00
+935.000E+00,-46.06676E+00
+940.000E+00,-60.21955E+00
+945.000E+00,-47.14731E+00
